Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
Natural,Geophysical,Earthquake,Ground movement,AZE,Azerbaijan,Western Asia,Asia,"Absheron, Baku, Sumgayit districts (Absheron province)",6.8,Moment Magnitude,40.245,49.946,2000,11.0,25.0,2000,11.0,25.0,31.0
Natural,Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,"Aceh Besar, Aceh Utara districts (Nangroe Aceh Darussalam province), Pesisir Selatan, Tanahdatar, Solok districts (Sumatera Barat province) Dairi, Deli Serdang districts (Sumatera Utara province), Riau, Jambi provinces",300.0,Km2,-0.789275,113.921327,2000,11.0,28.0,2000,12.0,4.0,100.0
Natural,Hydrological,Flood,Riverine flood,SOM,Somalia,Sub-Saharan Africa,Africa,"Juba Hoose, Juba Dhexe provinces",51400.0,Km2,5.152149,46.199616,2000,11.0,20.0,2000,11.0,20.0,
Natural,Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,"Nagappattinam, Thanjavur, Sirkali, Papanasam, Tiruvallur, Tiruvarur areas (Cuddalore district, Tamil Nadu province), Andhra Pradesh province",120.0,Kph,20.593684,78.96288,2000,11.0,29.0,2000,11.0,29.0,
Natural,Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,"Autonomous region in Muslim Mindanao (ARMM), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces Central Philippines",135.0,Kph,12.879721,121.774017,2000,11.0,30.0,2000,12.0,3.0,48.0
Natural,Hydrological,Flood,Riverine flood,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Mwanza province,18960.0,Km2,-6.369028,34.888822,2000,12.0,1.0,2000,12.0,31.0,36.0
Natural,Hydrological,Flood,Flash flood,IDN,Indonesia,South-eastern Asia,Asia,"Taliwan area (Sumbawa Barat district, Nusatenggara Barat province), Lunyuk area (Sumbawa district, Nusatenggara Barat province), Kulonprogo district (Daerah Istimewa Yogyakarta province), Bolaangmongondow, Minahasa, Kota Bitung, Kota Manado districts (Sulawesi Utara province)",590.0,Km2,-0.789275,113.921327,2000,12.0,3.0,2000,12.0,6.0,38.0
Natural,Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,"Belo Horizonte district (Minas Gerais province), Santos, Guaruja districts (Sao Paulo province), Santa Leopoldina district (Espirito Santo province), Alto Feliz district (Rio Grande do Sul province)",578300.0,Km2,-14.235004,-51.92528,2000,12.0,17.0,2000,12.0,26.0,13.0
Natural,Geophysical,Earthquake,Ground movement,TKM,Turkmenistan,Central Asia,Asia,Balkan province,7.0,Moment Magnitude,39.566,54.799,2000,12.0,6.0,2000,12.0,6.0,11.0
Natural,Meteorological,Storm,Storm (General),PRT,Portugal,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",100.0,Kph,39.399872,-8.224454,2000,12.0,6.0,2000,12.0,6.0,4.0
Natural,Meteorological,Storm,Storm (General),ESP,Spain,Southern Europe,Europe,"Cantabria, Galicia, Principado de Asturias, Castilla y León provinces",150.0,Kph,40.463667,-3.74922,2000,12.0,5.0,2000,12.0,5.0,7.0
Natural,Meteorological,Extreme temperature,Cold wave,POL,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-23.0,°C,51.919438,19.145136,2000,12.0,,2000,12.0,,84.0
